"location" "new_cases" "new_deaths"
"219" "Argentina" 9524 318
"220" "Argentina" 13305 386
"221" "Argentina" 14932 349
"222" "Argentina" 17096 421
"223" "Argentina" 16546 381
"224" "Argentina" 13510 384
"225" "Argentina" 10561 160
"226" "Argentina" 12982 449
"227" "Argentina" 16337 384
"228" "Argentina" 18326 419
"229" "Argentina" 16325 438
"230" "Argentina" 15718 381
"231" "Argentina" 11968 275
"232" "Argentina" 9253 283
"233" "Argentina" 11712 405
"234" "Argentina" 14308 429
"235" "Argentina" 13924 341
"236" "Argentina" 13267 371
"237" "Argentina" 13379 350
"238" "Argentina" 9745 210
"239" "Argentina" 6609 138
"240" "Argentina" 9598 483
"241" "Argentina" 12145 429
"242" "Argentina" 10652 468
"243" "Argentina" 11100 246
"244" "Argentina" 11786 370
"245" "Argentina" 8037 212
"246" "Argentina" 5331 212
"247" "Argentina" 8317 347
"248" "Argentina" 11977 276
"249" "Argentina" 10880 348
"250" "Argentina" 11163 251
"251" "Argentina" 11859 263
"252" "Argentina" 8468 262
"253" "Argentina" 5645 129
"254" "Argentina" 7893 291
"255" "Argentina" 10621 379
"256" "Argentina" 10332 241
"257" "Argentina" 10097 185
"258" "Argentina" 9608 258
"259" "Argentina" 7140 112
"260" "Argentina" 4184 100
"261" "Argentina" 4265 120
"262" "Argentina" 7164 310
"263" "Argentina" 8593 282
"264" "Argentina" 9043 227
"265" "Argentina" 7846 275
"266" "Argentina" 6098 106
"267" "Argentina" 5432 151
"268" "Argentina" 5726 257
"269" "Argentina" 8037 198
"270" "Argentina" 7533 228
"271" "Argentina" 7629 149
"272" "Argentina" 6899 207
"273" "Argentina" 5201 120
"274" "Argentina" 3278 138
"275" "Argentina" 3199 118
"276" "Argentina" 3610 121
"277" "Argentina" 5303 213
"278" "Argentina" 6994 209
"279" "Argentina" 7112 175
"280" "Argentina" 5274 62
"281" "Argentina" 3558 98
"282" "Argentina" 5062 275
"283" "Argentina" 6981 163
"284" "Argentina" 6843 161
"285" "Argentina" 7326 169
"286" "Argentina" 7002 138
"287" "Argentina" 5795 91
"288" "Argentina" 4116 50
"289" "Argentina" 5853 184
"290" "Argentina" 8141 257
"291" "Argentina" 8586 60
"292" "Argentina" 0 0
"293" "Argentina" 10689 108
"294" "Argentina" 3713 79
"295" "Argentina" 5030 149
"296" "Argentina" 7216 218
"297" "Argentina" 11650 150
"298" "Argentina" 11765 145
"299" "Argentina" 11586 82
"300" "Argentina" 4080 74
"301" "Argentina" 5240 56
"302" "Argentina" 5884 107
"303" "Argentina" 8222 152
"304" "Argentina" 13790 151
"305" "Argentina" 13441 191
"306" "Argentina" 13835 146
"307" "Argentina" 13346 151
"308" "Argentina" 11057 144
"309" "Argentina" 7808 78
"310" "Argentina" 8704 159
"311" "Argentina" 13783 194
"312" "Argentina" 12725 135
"313" "Argentina" 13286 142
"314" "Argentina" 12332 102
"315" "Argentina" 8932 68
"316" "Argentina" 7264 112
"317" "Argentina" 8185 425
"318" "Argentina" 12141 234
"319" "Argentina" 12112 150
"320" "Argentina" 11396 139
"321" "Argentina" 10753 220
"322" "Argentina" 8362 162
"323" "Argentina" 5031 90
"324" "Argentina" 7578 207
"325" "Argentina" 10409 219
"326" "Argentina" 10843 182
"327" "Argentina" 9471 166
"328" "Argentina" 9838 174
"329" "Argentina" 6902 156
"330" "Argentina" 4975 43
"331" "Argentina" 6614 275
"332" "Argentina" 9695 177
"333" "Argentina" 9196 113
"334" "Argentina" 8891 161
"335" "Argentina" 8374 285
"336" "Argentina" 6680 125
"337" "Argentina" 3658 61
"338" "Argentina" 5154 227
"339" "Argentina" 7794 168
"340" "Argentina" 7739 108
"341" "Argentina" 7311 200
"342" "Argentina" 7151 155
"343" "Argentina" 6057 159
"344" "Argentina" 4245 48
"345" "Argentina" 3259 91
"346" "Argentina" 4003 105
"347" "Argentina" 6064 184
"348" "Argentina" 7671 241
"349" "Argentina" 7886 143
"350" "Argentina" 5944 122
"351" "Argentina" 3709 76
"352" "Argentina" 5417 161
"353" "Argentina" 7477 151
"354" "Argentina" 8183 140
"355" "Argentina" 8234 145
"356" "Argentina" 5083 92
"357" "Argentina" 5469 59
"358" "Argentina" 3168 19
"359" "Argentina" 4658 112
"360" "Argentina" 6653 115
"361" "Argentina" 7855 261
"362" "Argentina" 7432 191
"363" "Argentina" 7891 140
"364" "Argentina" 4860 86
"365" "Argentina" 2922 10
"366" "Argentina" 5058 241
"367" "Argentina" 7307 131
"368" "Argentina" 7693 107
"369" "Argentina" 8204 134
"370" "Argentina" 7849 85
"371" "Argentina" 6278 68
"372" "Argentina" 3697 24
"373" "Argentina" 6164 166
"374" "Argentina" 8235 200
"375" "Argentina" 8304 195
"376" "Argentina" 8328 155
"377" "Argentina" 8160 90
"378" "Argentina" 6826 41
"379" "Argentina" 4032 28
"380" "Argentina" 6401 126
"381" "Argentina" 9405 152
"382" "Argentina" 8300 123
"383" "Argentina" 8238 146
"384" "Argentina" 12936 143
"385" "Argentina" 10338 133
"386" "Argentina" 7208 81
"387" "Argentina" 14014 162
"388" "Argentina" 10154 125
"389" "Argentina" 16056 122
"390" "Argentina" 14430 83
"391" "Argentina" 9902 82
"392" "Argentina" 10384 83
"393" "Argentina" 9955 93
"394" "Argentina" 13667 272
"395" "Argentina" 20870 163
"396" "Argentina" 22039 198
"397" "Argentina" 23683 290
"398" "Argentina" 24130 228
"399" "Argentina" 19419 297
"400" "Argentina" 15262 132
"401" "Argentina" 19437 178
"402" "Argentina" 27001 217
"403" "Argentina" 25157 368
"404" "Argentina" 24999 383
"405" "Argentina" 29472 159
"406" "Argentina" 19119 80
"407" "Argentina" 16267 64
"408" "Argentina" 20461 248
"409" "Argentina" 29145 316
"410" "Argentina" 25932 291
"411" "Argentina" 27216 537
"412" "Argentina" 27884 556
"413" "Argentina" 21220 298
"414" "Argentina" 15012 170
"415" "Argentina" 18793 443
"416" "Argentina" 25495 512
"417" "Argentina" 23718 348
"418" "Argentina" 26053 561
"419" "Argentina" 22420 357
"420" "Argentina" 16502 231
"421" "Argentina" 11394 156
"422" "Argentina" 15920 540
"423" "Argentina" 26238 410
"424" "Argentina" 24079 663
"425" "Argentina" 24086 398
"426" "Argentina" 22552 609
"427" "Argentina" 18024 170
"428" "Argentina" 11582 283
"429" "Argentina" 17381 496
"430" "Argentina" 25976 490
"431" "Argentina" 24475 496
"432" "Argentina" 26531 447
"433" "Argentina" 27363 599
"434" "Argentina" 21469 400
"435" "Argentina" 16350 269
"436" "Argentina" 28680 505
"437" "Argentina" 35543 744
"438" "Argentina" 39652 494
"439" "Argentina" 35884 434
"440" "Argentina" 35468 692
"441" "Argentina" 32171 297
"442" "Argentina" 24801 375
"443" "Argentina" 22651 417
"444" "Argentina" 24601 576
"445" "Argentina" 35399 532
"446" "Argentina" 41080 547
"447" "Argentina" 39207 558
"448" "Argentina" 29841 415
"449" "Argentina" 21346 348
"450" "Argentina" 28175 637
"451" "Argentina" 35355 640
"452" "Argentina" 35017 587
"453" "Argentina" 32291 553
"454" "Argentina" 30950 538
"455" "Argentina" 23627 456
"456" "Argentina" 16415 347
"457" "Argentina" 22195 732
"458" "Argentina" 31137 721
"459" "Argentina" 29757 605
"460" "Argentina" 27628 669
"461" "Argentina" 26934 687
"462" "Argentina" 18057 447
"463" "Argentina" 13043 268
"464" "Argentina" 21292 686
"465" "Argentina" 27260 586
"466" "Argentina" 25878 646
"467" "Argentina" 23780 528
"468" "Argentina" 20363 458
"469" "Argentina" 15631 495
"470" "Argentina" 10395 301
"471" "Argentina" 8606 447
"472" "Argentina" 21387 791
"473" "Argentina" 27319 705
"474" "Argentina" 24463 452
"475" "Argentina" 24023 541
"476" "Argentina" 18555 338
"477" "Argentina" 12105 251
"478" "Argentina" 18389 574
"479" "Argentina" 24065 526
"480" "Argentina" 22673 636
"481" "Argentina" 21177 468
"482" "Argentina" 20888 610
"483" "Argentina" 14034 212
"484" "Argentina" 9000 310
"485" "Argentina" 17277 617
"486" "Argentina" 21590 462
"487" "Argentina" 19423 456
"488" "Argentina" 19256 465
"489" "Argentina" 14518 244
"490" "Argentina" 11561 353
"491" "Argentina" 8850 280
"492" "Argentina" 14989 474
"493" "Argentina" 20023 385
"494" "Argentina" 19697 610
"495" "Argentina" 17295 445
"496" "Argentina" 17261 463
"497" "Argentina" 12230 276
"498" "Argentina" 6935 115
"499" "Argentina" 12764 406
"500" "Argentina" 15077 426
"501" "Argentina" 14632 437
"502" "Argentina" 13500 256
"503" "Argentina" 15622 285
"504" "Argentina" 11136 225
"505" "Argentina" 7506 137
"506" "Argentina" 12555 384
"507" "Argentina" 16757 247
"508" "Argentina" 15883 470
"509" "Argentina" 14115 291
"510" "Argentina" 13483 473
"511" "Argentina" 10356 135
"512" "Argentina" 6083 51
"513" "Argentina" 11183 273
"514" "Argentina" 14850 402
"515" "Argentina" 13736 300
"516" "Argentina" 13786 276
"517" "Argentina" 13549 190
"518" "Argentina" 9803 89
"519" "Argentina" 6141 157
"520" "Argentina" 10180 502
"521" "Argentina" 12412 204
"522" "Argentina" 11397 223
"523" "Argentina" 13369 181
"524" "Argentina" 8472 246
"525" "Argentina" 6183 121
"526" "Argentina" 3727 105
"527" "Argentina" 3636 64
"528" "Argentina" 8172 300
"529" "Argentina" 9764 247
"530" "Argentina" 10596 189
"531" "Argentina" 8160 229
"532" "Argentina" 5889 147
"533" "Argentina" 2979 135
"534" "Argentina" 6135 257
"535" "Argentina" 8119 197
"536" "Argentina" 6994 160
"537" "Argentina" 6847 151
"538" "Argentina" 5807 153
"539" "Argentina" 3725 54
"540" "Argentina" 2073 59
"541" "Argentina" 5358 224
"542" "Argentina" 6731 205
"543" "Argentina" 5328 193
"544" "Argentina" 4653 190
"545" "Argentina" 4318 161
"546" "Argentina" 2486 88
"547" "Argentina" 1397 67
"548" "Argentina" 3893 162
"549" "Argentina" 4106 178
"550" "Argentina" 3531 111
"551" "Argentina" 3661 137
"552" "Argentina" 2816 183
"553" "Argentina" 1795 74
"554" "Argentina" 930 46
"555" "Argentina" 2297 238
"556" "Argentina" 3017 176
"557" "Argentina" 2510 153
"558" "Argentina" 2493 132
"559" "Argentina" 2308 185
"560" "Argentina" 1451 81
"561" "Argentina" 622 61
"562" "Argentina" 2162 90
"563" "Argentina" 1837 61
"564" "Argentina" 2034 105
"565" "Argentina" 1733 88
"566" "Argentina" 1849 56
"567" "Argentina" 993 21
"568" "Argentina" 562 13
"569" "Argentina" 1538 92
"570" "Argentina" 1825 84
"571" "Argentina" 1496 92
"572" "Argentina" 1641 49
"573" "Argentina" 1564 46
"574" "Argentina" 886 14
"575" "Argentina" 386 6
"576" "Argentina" 981 38
"577" "Argentina" 1216 40
"578" "Argentina" 1284 56
"579" "Argentina" 1086 37
"580" "Argentina" 753 28
"581" "Argentina" 470 14
"582" "Argentina" 331 15
"583" "Argentina" 416 18
"584" "Argentina" 1064 56
"585" "Argentina" 1314 35
"586" "Argentina" 1350 51
"587" "Argentina" 1358 27
"588" "Argentina" 790 3
"589" "Argentina" 400 3
"590" "Argentina" 912 38
"591" "Argentina" 1303 33
"592" "Argentina" 1218 33
"593" "Argentina" 1541 26
"594" "Argentina" 1385 23
"595" "Argentina" 908 4
"596" "Argentina" 540 3
"597" "Argentina" 1227 25
"598" "Argentina" 1415 15
"599" "Argentina" 1485 23
"600" "Argentina" 1589 27
"601" "Argentina" 1373 19
"602" "Argentina" 812 7
"603" "Argentina" 548 8
"604" "Argentina" 1138 39
"605" "Argentina" 1340 21
"606" "Argentina" 1264 19
"607" "Argentina" 1440 26
"608" "Argentina" 1271 28
"609" "Argentina" 928 8
"610" "Argentina" 593 13
"611" "Argentina" 1288 39
"612" "Argentina" 1349 22
"613" "Argentina" 1567 19
"614" "Argentina" 1460 25
"615" "Argentina" 1614 13
"616" "Argentina" 1092 6
"617" "Argentina" 591 4
"618" "Argentina" 1417 18
"619" "Argentina" 1622 44
"620" "Argentina" 1553 19
"621" "Argentina" 1755 28
"622" "Argentina" 1518 19
"623" "Argentina" 1095 14
"624" "Argentina" 646 3
"625" "Argentina" 641 5
"626" "Argentina" 1644 33
"627" "Argentina" 2234 43
"628" "Argentina" 2260 22
"629" "Argentina" 1912 25
"630" "Argentina" 1521 12
"631" "Argentina" 888 12
"632" "Argentina" 1968 25
"633" "Argentina" 2332 35
"634" "Argentina" 1881 8
"635" "Argentina" 2681 20
"636" "Argentina" 2382 22
"637" "Argentina" 1690 4
"638" "Argentina" 1294 3
"639" "Argentina" 2477 34
"640" "Argentina" 3089 23
"641" "Argentina" 1881 5
"642" "Argentina" 2744 11
"643" "Argentina" 3573 29
"644" "Argentina" 2445 12
"645" "Argentina" 1570 11
"646" "Argentina" 3512 21
"647" "Argentina" 4555 34
"648" "Argentina" 4819 31
"649" "Argentina" 5301 17
"650" "Argentina" 5648 18
"651" "Argentina" 4163 7
"652" "Argentina" 3254 4
"653" "Argentina" 5337 27
"654" "Argentina" 9336 23
"655" "Argentina" 11121 11
"656" "Argentina" 13456 15
"657" "Argentina" 16279 29
"658" "Argentina" 7183 12
"659" "Argentina" 7623 15
"660" "Argentina" 20263 31
"661" "Argentina" 33902 19
"662" "Argentina" 42032 26
"663" "Argentina" 50506 35
"664" "Argentina" 47663 23
"665" "Argentina" 20020 12
"666" "Argentina" 20502 23
"667" "Argentina" 44396 41
"668" "Argentina" 81210 49
"669" "Argentina" 95159 52
"670" "Argentina" 109608 40
"671" "Argentina" 110533 42
"672" "Argentina" 101689 37
"673" "Argentina" 73319 27
"674" "Argentina" 88352 51
"675" "Argentina" 134439 52
